2026-01-11T00:13:11.717+0700	ERROR	adaptor/user_handler.go:47	failed to register user	{"error": "email already registered"}
2026-01-11T00:13:34.772+0700	WARN	usecase/user.go:69	user not found	{"error": "number of field descriptions must equal number of destinations, got 7 and 8"}
2026-01-11T00:13:34.773+0700	WARN	adaptor/user_handler.go:78	login failed	{"error": "invalid credentials"}
2026-01-11T00:15:05.958+0700	WARN	usecase/user.go:69	user not found	{"error": "number of field descriptions must equal number of destinations, got 7 and 8"}
2026-01-11T00:15:05.959+0700	WARN	adaptor/user_handler.go:78	login failed	{"error": "invalid credentials"}
2026-01-11T00:15:13.666+0700	WARN	usecase/user.go:69	user not found	{"error": "number of field descriptions must equal number of destinations, got 7 and 8"}
2026-01-11T00:15:13.666+0700	WARN	adaptor/user_handler.go:78	login failed	{"error": "invalid credentials"}
2026-01-11T00:18:40.364+0700	WARN	usecase/user.go:69	user not found	{"error": "number of field descriptions must equal number of destinations, got 7 and 8"}
2026-01-11T00:18:40.365+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T00:20:00.391+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T00:23:34.573+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T00:25:41.752+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T00:26:18.807+0700	INFO	repository/user.go:64	Registered succesfully
2026-01-11T00:26:36.157+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T16:00:43.491+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T16:02:56.048+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T20:58:53.089+0700	WARN	adaptor/user_handler.go:77	login failed	{"error": "invalid credentials"}
2026-01-11T21:00:13.146+0700	INFO	adaptor/user_handler.go:72	login payload	{"identifier": "bahlul@mail.com", "password": "secret123"}
2026-01-11T21:00:13.219+0700	WARN	adaptor/user_handler.go:83	login failed	{"error": "invalid credentials"}
2026-01-11T21:03:07.506+0700	INFO	adaptor/user_handler.go:72	login payload	{"identifier": "bahlul", "password": "secret123"}
2026-01-11T21:03:07.587+0700	WARN	adaptor/user_handler.go:83	login failed	{"error": "invalid credentials"}
2026-01-11T21:04:34.243+0700	INFO	adaptor/user_handler.go:71	login payload	{"identifier": "bahlul", "password": "secret123"}
2026-01-11T21:04:34.318+0700	WARN	adaptor/user_handler.go:82	login failed	{"error": "invalid credentials"}
2026-01-11T21:08:24.993+0700	INFO	adaptor/user_handler.go:71	login payload	{"identifier": "bahlul", "password": "secret123"}
2026-01-11T21:08:24.993+0700	INFO	usecase/user.go:78	attempting login	{"identifier": "bahlul"}
2026-01-11T21:08:25.004+0700	INFO	usecase/user.go:91	user found, checking password	{"user_id": 3, "username": "bahlul", "stored_password_length": 60, "input_password_length": 9}
2026-01-11T21:08:25.075+0700	WARN	usecase/user.go:100	password mismatch	{"identifier": "bahlul", "user_id": 3}
2026-01-11T21:08:25.075+0700	WARN	adaptor/user_handler.go:82	login failed	{"error": "invalid credentials"}
2026-01-11T21:08:50.777+0700	INFO	repository/user.go:64	Registered succesfully
2026-01-11T21:09:34.870+0700	INFO	adaptor/user_handler.go:71	login payload	{"identifier": "bahlol@mail.com", "password": "Secret1234"}
2026-01-11T21:09:34.870+0700	INFO	usecase/user.go:78	attempting login	{"identifier": "bahlol@mail.com"}
2026-01-11T21:09:34.877+0700	INFO	usecase/user.go:91	user found, checking password	{"user_id": 4, "username": "bahlol", "stored_password_length": 60, "input_password_length": 10}
2026-01-11T21:09:34.944+0700	WARN	usecase/user.go:100	password mismatch	{"identifier": "bahlol@mail.com", "user_id": 4}
2026-01-11T21:09:34.945+0700	WARN	adaptor/user_handler.go:82	login failed	{"error": "invalid credentials"}
